Experiment File Name,Well,Sample Name,Target Name,Ct
ABI7500ExperimentName_,F12,NTC,C19,Undetermined
ABI7500ExperimentName_,F12,NTC,FluAB,Undetermined
ABI7500ExperimentName_,F12,NTC,MS2,Undetermined
ABI7500ExperimentName_,F12,NTC,RSV,Undetermined
ABI7500ExperimentName_,G1,Sample,C19,Undetermined
ABI7500ExperimentName_,G1,Sample,FluAB,Undetermined
ABI7500ExperimentName_,G1,Sample,MS2,24.89923096
ABI7500ExperimentName_,G1,Sample,RSV,Undetermined
ABI7500ExperimentName_,G2,Sample,C19,Undetermined
ABI7500ExperimentName_,G2,Sample,FluAB,Undetermined
ABI7500ExperimentName_,G2,Sample,MS2,23.58554268
ABI7500ExperimentName_,G2,Sample,RSV,Undetermined
ABI7500ExperimentName_,G3,Sample,C19,Undetermined
ABI7500ExperimentName_,G3,Sample,FluAB,Undetermined
ABI7500ExperimentName_,G3,Sample,MS2,25.14230537
ABI7500ExperimentName_,G3,Sample,RSV,Undetermined
ABI7500ExperimentName_,G4,Sample,C19,Undetermined
ABI7500ExperimentName_,G4,Sample,FluAB,Undetermined
ABI7500ExperimentName_,G4,Sample,MS2,23.81232452
ABI7500ExperimentName_,G4,Sample,RSV,Undetermined
ABI7500ExperimentName_,G5,Sample,C19,Undetermined
ABI7500ExperimentName_,G5,Sample,FluAB,Undetermined
ABI7500ExperimentName_,G5,Sample,MS2,23.45472336
ABI7500ExperimentName_,G5,Sample,RSV,Undetermined
ABI7500ExperimentName_,G6,Sample,C19,Undetermined
ABI7500ExperimentName_,G6,Sample,FluAB,Undetermined
ABI7500ExperimentName_,G6,Sample,MS2,23.67593765
ABI7500ExperimentName_,G6,Sample,RSV,Undetermined
ABI7500ExperimentName_,G7,Sample,C19,Undetermined
ABI7500ExperimentName_,G7,Sample,FluAB,Undetermined
ABI7500ExperimentName_,G7,Sample,MS2,25.06035042
ABI7500ExperimentName_,G7,Sample,RSV,Undetermined
ABI7500ExperimentName_,G8,Sample,C19,Undetermined
ABI7500ExperimentName_,G8,Sample,FluAB,Undetermined
ABI7500ExperimentName_,G8,Sample,MS2,23.98863411
ABI7500ExperimentName_,G8,Sample,RSV,Undetermined
ABI7500ExperimentName_,G9,Sample,C19,
ABI7500ExperimentName_,G9,Sample,FluAB,
ABI7500ExperimentName_,G9,Sample,MS2,
ABI7500ExperimentName_,G9,Sample,RSV,
ABI7500ExperimentName_,G10,Sample,C19,Undetermined
ABI7500ExperimentName_,G10,Sample,FluAB,Undetermined
ABI7500ExperimentName_,G10,Sample,MS2,23.17345047
ABI7500ExperimentName_,G10,Sample,RSV,Undetermined
ABI7500ExperimentName_,H1,Sample,C19,Undetermined
ABI7500ExperimentName_,H1,Sample,FluAB,Undetermined
ABI7500ExperimentName_,H1,Sample,MS2,25.01526642
ABI7500ExperimentName_,H1,Sample,RSV,Undetermined
ABI7500ExperimentName_,H2,Sample,C19,Undetermined
ABI7500ExperimentName_,H2,Sample,FluAB,Undetermined
ABI7500ExperimentName_,H2,Sample,MS2,23.89948845
ABI7500ExperimentName_,H2,Sample,RSV,Undetermined
ABI7500ExperimentName_,H3,Sample,C19,Undetermined
ABI7500ExperimentName_,H3,Sample,FluAB,Undetermined
ABI7500ExperimentName_,H3,Sample,MS2,24.4070816
ABI7500ExperimentName_,H3,Sample,RSV,Undetermined
ABI7500ExperimentName_,H4,Sample,C19,Undetermined
ABI7500ExperimentName_,H4,Sample,FluAB,Undetermined
ABI7500ExperimentName_,H4,Sample,MS2,23.92262459
ABI7500ExperimentName_,H4,Sample,RSV,Undetermined
ABI7500ExperimentName_,H5,Sample,C19,Undetermined
ABI7500ExperimentName_,H5,Sample,FluAB,Undetermined
ABI7500ExperimentName_,H5,Sample,MS2,24.11966324
ABI7500ExperimentName_,H5,Sample,RSV,Undetermined
ABI7500ExperimentName_,H6,Sample,C19,Undetermined
ABI7500ExperimentName_,H6,Sample,FluAB,Undetermined
ABI7500ExperimentName_,H6,Sample,MS2,24.26737976
ABI7500ExperimentName_,H6,Sample,RSV,Undetermined
ABI7500ExperimentName_,H7,Sample,C19,Undetermined
ABI7500ExperimentName_,H7,Sample,FluAB,Undetermined
ABI7500ExperimentName_,H7,Sample,MS2,23.5266552
ABI7500ExperimentName_,H7,Sample,RSV,Undetermined
ABI7500ExperimentName_,H8,Sample,C19,Undetermined
ABI7500ExperimentName_,H8,Sample,FluAB,Undetermined
ABI7500ExperimentName_,H8,Sample,MS2,25.64186287
ABI7500ExperimentName_,H8,Sample,RSV,Undetermined
ABI7500ExperimentName_,H9,Sample,C19,Undetermined
ABI7500ExperimentName_,H9,Sample,FluAB,Undetermined
ABI7500ExperimentName_,H9,Sample,MS2,25.41464424
ABI7500ExperimentName_,H9,Sample,RSV,Undetermined
ABI7500ExperimentName_,H10,Sample,C19,Undetermined
ABI7500ExperimentName_,H10,Sample,FluAB,Undetermined
ABI7500ExperimentName_,H10,Sample,MS2,22.97208595
ABI7500ExperimentName_,H10,Sample,RSV,Undetermined
